,Unnamed: 0,Unnamed: 0.1,longitude,latitude,distance,coords
0,0,0,-85.8,30.2,1904.0785203618304,"30.2, -85.8"
1,1,1,-85.7,30.2,110.576316107801,"30.2, -85.7"
2,2,2,-82.8,27.7,8750.65483133986,"27.7, -82.8"
3,3,3,-82.8,27.8,99.7389593044632,"27.8, -82.8"
4,4,4,-82.8,27.9,3525.214608659451,"27.9, -82.8"
5,5,5,-82.8,28.0,606.175444173217,"28.0, -82.8"
6,6,6,-82.8,28.1,1980.3209055047696,"28.1, -82.8"
7,7,7,-82.8,28.2,1228.7240077619301,"28.2, -82.8"
8,8,8,-82.7,27.5,289.682647323896,"27.5, -82.7"
9,9,9,-82.7,27.8,5868.72937647774,"27.8, -82.7"
10,10,10,-82.7,27.9,5938.3257623706895,"27.9, -82.7"
11,11,11,-82.7,28.0,1582.8947426379502,"28.0, -82.7"
12,12,12,-82.7,28.1,941.819689753161,"28.1, -82.7"
13,13,13,-82.7,28.2,1005.1081142981799,"28.2, -82.7"
14,14,14,-82.7,28.3,1095.6380606578,"28.3, -82.7"
15,15,15,-82.6,27.3,5544.469214996279,"27.3, -82.6"
16,16,16,-82.6,27.4,2193.4325930063897,"27.4, -82.6"
17,17,17,-82.6,27.5,96.07759400167559,"27.5, -82.6"
18,18,18,-82.6,27.8,13506.297459658601,"27.8, -82.6"
19,19,19,-82.6,27.9,2616.19455850853,"27.9, -82.6"
20,20,20,-82.6,28.0,19.498614369727,"28.0, -82.6"
21,21,21,-82.6,28.1,7310.185604814829,"28.1, -82.6"
22,22,22,-82.6,28.9,167.478844399512,"28.9, -82.6"
23,23,23,-82.5,27.1,3965.86779065416,"27.1, -82.5"
24,24,24,-82.5,27.2,378.19863527062597,"27.2, -82.5"
25,25,25,-82.5,27.3,1306.4220323647999,"27.3, -82.5"
26,26,26,-82.5,27.4,6245.926865082889,"27.4, -82.5"
27,27,27,-82.5,27.5,378.641464004146,"27.5, -82.5"
28,28,28,-82.5,27.9,1085.32783006681,"27.9, -82.5"
29,29,29,-82.5,28.0,2550.8975299845897,"28.0, -82.5"
30,30,30,-82.5,28.1,9497.59374461157,"28.1, -82.5"
31,31,31,-82.5,28.2,20353.6879908196,"28.2, -82.5"
32,32,32,-82.4,27.1,3511.87650780414,"27.1, -82.4"
33,33,33,-82.4,27.3,10819.124040445,"27.3, -82.4"
34,34,34,-82.4,27.7,9209.29512702345,"27.7, -82.4"
35,35,35,-82.4,27.8,8.186111681853,"27.8, -82.4"
36,36,36,-82.4,27.9,839.912474687426,"27.9, -82.4"
37,37,37,-82.4,28.0,1595.72403583933,"28.0, -82.4"
38,38,38,-82.4,28.1,3074.27375343026,"28.1, -82.4"
39,39,39,-82.4,28.2,19161.367357771,"28.2, -82.4"
40,40,40,-82.4,29.0,7002.27992307834,"29.0, -82.4"
41,41,41,-82.3,27.1,2500.1145470499105,"27.1, -82.3"
42,42,42,-82.3,27.3,20049.7228824747,"27.3, -82.3"
43,43,43,-82.3,27.8,6895.779018866229,"27.8, -82.3"
44,44,44,-82.3,27.9,1586.8329492454502,"27.9, -82.3"
45,45,45,-82.3,28.0,5360.0607641033,"28.0, -82.3"
46,46,46,-82.3,28.1,5833.403447907939,"28.1, -82.3"
47,47,47,-82.3,28.2,22451.4617912988,"28.2, -82.3"
48,48,48,-82.3,28.6,29038.326133389102,"28.6, -82.3"
49,49,49,-82.2,27.3,26858.0818983483,"27.3, -82.2"
50,50,50,-82.2,28.2,19945.1530905933,"28.2, -82.2"
51,51,51,-82.2,28.5,134847.643049483,"28.5, -82.2"
52,52,52,-82.2,28.6,132403.71344813198,"28.6, -82.2"
53,53,53,-82.1,27.0,1691.8153018060998,"27.0, -82.1"
54,54,54,-82.1,28.0,136650.450004085,"28.0, -82.1"
55,55,55,-82.0,26.9,5145.0172153015,"26.9, -82.0"
56,56,56,-82.0,27.4,78390.1732845339,"27.4, -82.0"
57,57,57,-82.0,28.0,128979.938446431,"28.0, -82.0"
58,58,58,-81.9,27.5,86774.754341052,"27.5, -81.9"
59,59,59,-81.8,26.4,3470.0405328230104,"26.4, -81.8"
60,60,60,-81.8,27.6,87977.85523135061,"27.6, -81.8"
61,61,61,-81.8,30.3,12986.243264778,"30.3, -81.8"
62,62,62,-81.6,28.5,77705.1320912852,"28.5, -81.6"
63,63,63,-81.5,28.1,80857.8557208324,"28.1, -81.5"
64,64,64,-81.5,28.5,68130.40490556309,"28.5, -81.5"
65,65,65,-81.5,28.6,66030.35534066231,"28.6, -81.5"
66,66,66,-81.5,30.3,5351.91583107731,"30.3, -81.5"
67,67,67,-81.4,28.6,56411.2222312211,"28.6, -81.4"
68,68,68,-81.3,28.2,58540.3782595983,"28.2, -81.3"
69,69,69,-81.3,28.6,46849.16583624679,"28.6, -81.3"
70,70,70,-81.3,28.8,2255.62139588746,"28.8, -81.3"
71,71,71,-81.3,29.9,5114.71436229348,"29.9, -81.3"
72,72,72,-81.0,29.3,39700.62270030991,"29.3, -81.0"
73,73,73,-80.9,27.3,9373.8493707672,"27.3, -80.9"
74,74,74,-80.7,28.3,44.0462427040353,"28.3, -80.7"
75,75,75,-80.5,27.8,609.290238228097,"27.8, -80.5"
76,76,76,-80.4,25.7,9295.28548416047,"25.7, -80.4"
77,77,77,-80.4,25.8,7555.08949726922,"25.8, -80.4"
78,78,78,-80.3,25.7,2253.02419622643,"25.7, -80.3"
79,79,79,-80.3,25.8,900.053892360683,"25.8, -80.3"
80,80,80,-80.3,25.9,1489.70554041362,"25.9, -80.3"
81,81,81,-80.3,26.0,2036.9956510111301,"26.0, -80.3"
82,82,82,-80.3,26.2,6007.09049477675,"26.2, -80.3"
83,83,83,-80.2,25.8,1340.29290905207,"25.8, -80.2"
84,84,84,-80.2,25.9,482.070850206742,"25.9, -80.2"
85,85,85,-80.2,26.2,1107.4714963921301,"26.2, -80.2"
86,86,86,-80.2,26.3,3246.62249859541,"26.3, -80.2"
87,87,87,-80.1,25.9,2204.0755567311107,"25.9, -80.1"
88,88,88,-87.5,30.3,1467.72704011974,"30.3, -87.5"
89,89,89,-87.4,30.3,140.8844604673,"30.3, -87.4"
90,90,90,-87.4,30.4,24.926992834582,"30.4, -87.4"
91,91,91,-87.4,30.5,2408.73213879096,"30.5, -87.4"
92,92,92,-87.4,30.6,12002.883798557801,"30.6, -87.4"
93,93,93,-87.4,30.7,17795.996220124598,"30.7, -87.4"
94,94,94,-87.3,30.4,2017.07596047969,"30.4, -87.3"
95,95,95,-87.3,30.5,7507.610651066959,"30.5, -87.3"
96,96,96,-87.3,30.6,4924.751107859821,"30.6, -87.3"
97,97,97,-87.3,30.9,32674.536002307002,"30.9, -87.3"
98,98,98,-87.2,30.3,5021.06754512456,"30.3, -87.2"
99,99,99,-87.2,30.4,646.585936706387,"30.4, -87.2"
100,100,100,-87.2,30.5,3222.91218716848,"30.5, -87.2"
101,101,101,-87.2,30.6,1044.0944237374301,"30.6, -87.2"
102,102,102,-87.2,30.7,10966.6785017006,"30.7, -87.2"
103,103,103,-87.1,30.3,7555.91558753116,"30.3, -87.1"
104,104,104,-87.1,30.4,559.3736439602179,"30.4, -87.1"
105,105,105,-87.1,30.5,128.350604944227,"30.5, -87.1"
106,106,106,-87.1,30.6,5594.27373196624,"30.6, -87.1"
107,107,107,-87.1,30.8,18935.8301062336,"30.8, -87.1"
108,108,108,-87.0,30.4,969.071549792003,"30.4, -87.0"
109,109,109,-87.0,30.5,678.698001476693,"30.5, -87.0"
110,110,110,-87.0,30.6,841.5752615036058,"30.6, -87.0"
111,111,111,-87.0,30.7,5678.011563618771,"30.7, -87.0"
112,112,112,-87.0,30.8,16737.1965582107,"30.8, -87.0"
113,113,113,-86.9,30.4,116.56421202665001,"30.4, -86.9"
114,114,114,-86.9,30.5,4936.52671481933,"30.5, -86.9"
115,115,115,-86.9,30.6,7102.76502197218,"30.6, -86.9"
116,116,116,-86.9,30.8,19637.527142242,"30.8, -86.9"
117,117,117,-86.8,30.4,663.9339113309089,"30.4, -86.8"
118,118,118,-86.8,30.6,15955.5243159368,"30.6, -86.8"
119,119,119,-86.8,30.7,20322.5880986251,"30.7, -86.8"
120,120,120,-86.7,30.4,117.70767083354099,"30.4, -86.7"
121,121,121,-86.7,30.5,9430.281819447679,"30.5, -86.7"
122,122,122,-86.7,30.7,26857.4300115775,"30.7, -86.7"
123,123,123,-86.6,30.4,26.294837009257,"30.4, -86.6"
124,124,124,-86.6,30.5,2755.3190685003497,"30.5, -86.6"
125,125,125,-86.6,30.7,21888.3175584862,"30.7, -86.6"
126,126,126,-86.6,30.8,32213.345990848906,"30.8, -86.6"
127,127,127,-86.5,30.4,674.520988038019,"30.4, -86.5"
128,128,128,-86.5,30.5,170.699416492265,"30.5, -86.5"
129,129,129,-86.5,30.7,19629.5461557348,"30.7, -86.5"
