,Unnamed: 0,Unnamed: 0.1,field_1,longitude,latitude,coords,"join_STATEFP,C,2",FIPS,"join_TRACTCE,C,6",GEOID,"join_NAME,C,7","join_NAMELSAD,C,20","join_MTFCC,C,5","join_FUNCSTAT,C,1",area,"join_AWATER,N,14,0","join_INTPTLAT,C,11","join_INTPTLON,C,12",distance,County,STATE,"Number
of
policies
in
force","Building
coverage","Contents
coverage","Total
coverage","Estimated
population
housing
units
2015","Population
2015","Percentage
of
properties
insured"
0,0,0,0,-85.8,30.2,"30.2, -85.8",12,5,2704,12005002704,27.04,Census Tract 27.04,G5020,S,24131149,3172781,30.201914799999997,-85.8151333,0.015253957779214997,bay county,FL,32997.0,6548160500,1227704600,7775865100,100697.0,181635.0,33
1,1,1,1,-85.7,30.2,"30.2, -85.7",12,5,2500,12005002500,25.0,Census Tract 25,G5020,S,4003671,8155759,30.206102,-85.7034335,0.0070016659624709396,bay county,FL,32997.0,6548160500,1227704600,7775865100,100697.0,181635.0,33
2,2,2,2,-82.8,27.7,"27.7, -82.8",12,103,28002,12103028002,280.02,Census Tract 280.02,G5020,S,2624983,4937827,27.702893699999997,-82.73600479999998,0.0640605894659829,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
3,3,3,3,-82.8,27.8,"27.8, -82.8",12,103,27801,12103027801,278.01,Census Tract 278.01,G5020,S,836007,1214355,27.8049561,-82.8004432,0.00497587715382743,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
4,4,4,4,-82.8,27.9,"27.9, -82.8",12,103,25304,12103025304,253.04,Census Tract 253.04,G5020,S,1901951,114864,27.905825300000004,-82.7938378,0.00847978943900802,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
5,5,5,5,-82.8,28.0,"28.0, -82.8",12,103,26102,12103026102,261.02,Census Tract 261.02,G5020,S,792023,571029,27.9931079,-82.79357900000002,0.00941967533464206,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
6,6,6,6,-82.8,28.1,"28.1, -82.8",12,103,27202,12103027202,272.02,Census Tract 272.02,G5020,S,6611522,39501864,28.105449699999998,-82.7831581,0.0177016616649425,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
7,7,7,7,-82.8,28.2,"28.2, -82.8",12,101,30404,12101030404,304.04,Census Tract 304.04,G5020,S,10045616,28892856,28.173599199999998,-82.8051054,0.0268899116733381,pasco county,FL,24435.0,4413979800,1044897600,5458877400,234450.0,497909.0,10
8,8,9,9,-82.7,27.8,"27.8, -82.7",12,103,22602,12103022602,226.02,Census Tract 226.02,G5020,S,2197284,15951,27.7995085,-82.70598299999997,0.0060031542750461795,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
9,9,10,10,-82.7,27.9,"27.9, -82.7",12,103,24510,12103024510,245.1,Census Tract 245.10,G5020,S,2567421,105723,27.904551799999997,-82.7068218,0.008200965704109341,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
10,10,11,11,-82.7,28.0,"28.0, -82.7",12,103,26817,12103026817,268.17,Census Tract 268.17,G5020,S,3897027,126141,28.00630300000001,-82.69783609999998,0.00666410325625175,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
11,11,12,12,-82.7,28.1,"28.1, -82.7",12,103,27310,12103027310,273.1,Census Tract 273.10,G5020,S,13938897,5137183,28.123714500000002,-82.70460600000001,0.0241576643376344,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
12,12,13,13,-82.7,28.2,"28.2, -82.7",12,101,31505,12101031505,315.05,Census Tract 315.05,G5020,S,5751628,102551,28.2039963,-82.698379,0.0043125461956953215,pasco county,FL,24435.0,4413979800,1044897600,5458877400,234450.0,497909.0,10
13,13,14,14,-82.7,28.3,"28.3, -82.7",12,101,31013,12101031013,310.13,Census Tract 310.13,G5020,S,1625506,8462,28.2998451,-82.7009334,0.0009461657201511381,pasco county,FL,24435.0,4413979800,1044897600,5458877400,234450.0,497909.0,10
14,14,15,15,-82.6,27.3,"27.3, -82.6",12,115,700,12115000700,7.0,Census Tract 7,G5020,S,3843166,15344682,27.321471999999996,-82.5690855,0.0376397807412533,sarasota county,FL,60883.0,12448583800,2781223500,15229807300,232623.0,405549.0,26
15,15,16,16,-82.6,27.4,"27.4, -82.6",12,81,1000,12081001000,10.0,Census Tract 10,G5020,S,3088828,1637295,27.4158957,-82.5896719,0.0189563426878697,manatee county,FL,37067.0,7500398400,1706108800,9206507200,182119.0,363369.0,20
16,16,17,17,-82.6,27.5,"27.5, -82.6",12,81,1202,12081001202,12.02,Census Tract 12.02,G5020,S,3568051,2492140,27.5025547,-82.60233079999998,0.0034581961670864803,manatee county,FL,37067.0,7500398400,1706108800,9206507200,182119.0,363369.0,20
17,17,18,18,-82.6,27.8,"27.8, -82.6",12,103,24005,12103024005,240.05,Census Tract 240.05,G5020,S,1575054,1453282,27.808425099999997,-82.6047804,0.009686822707679541,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
18,18,19,19,-82.6,27.9,"27.9, -82.6",12,103,24511,12103024511,245.11,Census Tract 245.11,G5020,S,5494321,27337695,27.876065399999998,-82.5963444,0.0242121558007494,pinellas county,FL,127567.0,24833449600,3827178600,28660628200,505353.0,949827.0,25
19,19,20,20,-82.6,28.0,"28.0, -82.6",12,57,11710,12057011710,117.1,Census Tract 117.10,G5020,S,3947756,949998,27.9975327,-82.60254590000002,0.003545303386172,hillsborough county,FL,62443.0,13126183400,3346960700,16473144100,560454.0,1349050.0,11
20,20,21,21,-82.6,28.1,"28.1, -82.6",12,57,11518,12057011518,115.18,Census Tract 115.18,G5020,S,20795030,2568074,28.1164386,-82.6215022,0.0270660705459793,hillsborough county,FL,62443.0,13126183400,3346960700,16473144100,560454.0,1349050.0,11
21,21,22,22,-82.6,28.9,"28.9, -82.6",12,17,450303,12017450303,4503.03,Census Tract 4503.03,G5020,S,50313001,600,28.917198699999997,-82.57581490000003,0.0296768317665465,citrus county,FL,5651.0,982519700,221839900,1204359600,77726.0,141058.0,7
22,22,23,23,-82.5,27.1,"27.1, -82.5",12,115,2304,12115002304,23.04,Census Tract 23.04,G5020,S,1567448,1269027,27.1056429,-82.45733879999997,0.0430327817582106,sarasota county,FL,60883.0,12448583800,2781223500,15229807300,232623.0,405549.0,26
23,23,24,24,-82.5,27.2,"27.2, -82.5",12,115,1907,12115001907,19.07,Census Tract 19.07,G5020,S,1683847,2721755,27.2124092,-82.507924,0.0147233834644097,sarasota county,FL,60883.0,12448583800,2781223500,15229807300,232623.0,405549.0,26
24,24,25,25,-82.5,27.3,"27.3, -82.5",12,115,1602,12115001602,16.02,Census Tract 16.02,G5020,S,2464871,105717,27.302038300000003,-82.50017740000001,0.00204600529080318,sarasota county,FL,60883.0,12448583800,2781223500,15229807300,232623.0,405549.0,26
25,25,26,26,-82.5,27.4,"27.4, -82.5",12,81,809,12081000809,8.09,Census Tract 8.09,G5020,S,4724322,0,27.396738,-82.49999559999998,0.00326200296750267,manatee county,FL,37067.0,7500398400,1706108800,9206507200,182119.0,363369.0,20
