,longitude,latitude,count
0,-87.5,30.3,6
1,-87.4,30.3,12
2,-87.4,30.4,8
3,-87.4,30.5,6
4,-87.4,30.6,2
5,-87.4,30.7,2
6,-87.3,30.3,1
7,-87.3,30.4,15
8,-87.3,30.5,12
9,-87.3,30.6,8
10,-87.3,30.9,1
11,-87.2,30.3,7
12,-87.2,30.4,12
13,-87.2,30.5,12
14,-87.2,30.6,7
15,-87.2,30.7,4
16,-87.2,30.8,1
17,-87.2,31.0,1
18,-87.1,30.3,12
19,-87.1,30.4,12
20,-87.1,30.5,7
21,-87.1,30.6,8
22,-87.1,30.7,1
23,-87.1,30.8,2
24,-87.0,30.4,10
25,-87.0,30.5,4
26,-87.0,30.6,11
27,-87.0,30.7,6
28,-87.0,30.8,2
29,-86.9,30.4,10
30,-86.9,30.5,3
31,-86.9,30.6,1
32,-86.9,30.8,1
33,-86.8,30.4,8
34,-86.8,30.6,1
35,-86.8,30.7,1
36,-86.7,30.4,10
37,-86.7,30.5,5
38,-86.7,30.7,1
39,-86.7,30.8,2
40,-86.7,30.9,1
41,-86.6,30.4,11
42,-86.6,30.5,7
43,-86.6,30.7,3
44,-86.6,30.8,3
45,-86.5,30.4,14
46,-86.5,30.5,10
47,-86.5,30.7,1
48,-86.5,30.8,4
49,-86.4,30.4,9
50,-86.4,30.5,8
51,-86.4,30.8,2
52,-86.4,30.9,1
53,-86.3,30.4,8
54,-86.3,30.5,1
55,-86.3,30.7,2
56,-86.3,30.8,2
57,-86.3,30.9,1
58,-86.3,31.0,1
59,-86.2,30.3,6
60,-86.2,30.4,10
61,-86.2,30.5,7
62,-86.2,30.8,1
63,-86.1,30.3,7
64,-86.1,30.4,11
65,-86.1,30.5,4
66,-86.1,30.7,1
67,-86.0,30.3,5
68,-86.0,30.4,2
69,-86.0,30.7,1
70,-86.0,30.9,1
71,-85.9,30.2,10
72,-85.9,30.3,4
73,-85.9,30.4,2
74,-85.9,30.5,4
75,-85.9,30.7,1
76,-85.9,30.8,1
77,-85.9,30.9,3
78,-85.9,31.0,1
79,-85.8,30.1,7
80,-85.8,30.2,19
81,-85.8,30.6,2
82,-85.8,30.7,1
83,-85.8,30.8,3
84,-85.7,30.1,6
85,-85.7,30.2,15
86,-85.7,30.3,5
87,-85.7,30.5,1
88,-85.7,30.6,1
89,-85.7,30.8,5
90,-85.6,30.1,11
91,-85.6,30.2,15
92,-85.6,30.3,7
93,-85.6,30.5,2
94,-85.5,30.0,1
